,Date,Code,Mobility_grocery_and_pharmacy,Mobility_parks,Mobility_transit_stations,Mobility_residential,Mobility_workplaces
0,2020-02-17,AFG,4.0,1.0,5.667000000000001,1.3330000000000002,-6.332999999999999
1,2020-02-18,AFG,4.25,1.5,6.5,0.75,-3.25
2,2020-02-19,AFG,4.0,1.4,5.2,0.8,-1.6
3,2020-02-20,AFG,3.833,1.0,5.0,0.833,-0.33299999999999996
4,2020-02-21,AFG,4.571000000000001,1.429,5.2860000000000005,0.7140000000000001,0.5710000000000001
5,2020-02-22,AFG,6.7139999999999995,2.286,6.571000000000001,0.0,5.428999999999999
6,2020-02-23,AFG,6.0,2.4290000000000003,6.143,0.14300000000000002,5.7139999999999995
7,2020-02-24,AFG,6.2860000000000005,2.714,6.143,0.28600000000000003,6.0
8,2020-02-25,AFG,6.2860000000000005,2.4290000000000003,6.143,0.429,6.143
9,2020-02-26,AFG,6.571000000000001,2.571,6.571000000000001,0.429,6.143
10,2020-02-27,AFG,6.143,2.8569999999999998,6.428999999999999,0.5710000000000001,6.2860000000000005
11,2020-02-28,AFG,5.571000000000001,2.4290000000000003,6.0,0.857,6.143
12,2020-02-29,AFG,5.0,1.571,5.571000000000001,1.0,6.143
13,2020-03-01,AFG,5.571000000000001,1.571,6.0,0.857,6.571000000000001
14,2020-03-02,AFG,4.7139999999999995,1.429,5.857,0.7140000000000001,6.7139999999999995
15,2020-03-03,AFG,4.857,1.571,5.571000000000001,0.7140000000000001,6.857
16,2020-03-04,AFG,4.7139999999999995,1.429,5.0,0.7140000000000001,7.143
17,2020-03-05,AFG,5.428999999999999,1.571,5.143,0.5710000000000001,7.571000000000001
18,2020-03-06,AFG,6.0,2.571,5.143,0.429,8.0
19,2020-03-07,AFG,6.571000000000001,3.1430000000000002,5.143,0.429,8.142999999999999
20,2020-03-08,AFG,6.2860000000000005,3.429,4.7139999999999995,0.429,7.857
21,2020-03-09,AFG,3.8569999999999998,2.4290000000000003,2.286,1.429,3.571
22,2020-03-10,AFG,3.0,2.286,2.1430000000000002,1.571,3.286
23,2020-03-11,AFG,2.286,2.4290000000000003,2.286,1.571,2.714
24,2020-03-12,AFG,1.0,2.286,1.429,1.571,2.1430000000000002
25,2020-03-13,AFG,1.0,2.0,1.429,1.429,1.714
26,2020-03-14,AFG,0.5710000000000001,2.1430000000000002,1.571,1.286,1.143
27,2020-03-15,AFG,1.143,2.286,1.429,1.286,0.5710000000000001
28,2020-03-16,AFG,4.571000000000001,3.1430000000000002,3.286,0.5710000000000001,3.8569999999999998
29,2020-03-17,AFG,5.428999999999999,3.429,2.0,0.429,3.1430000000000002
30,2020-03-18,AFG,6.571000000000001,3.8569999999999998,1.143,0.429,2.571
31,2020-03-19,AFG,7.571000000000001,4.428999999999999,0.5710000000000001,0.5710000000000001,1.429
32,2020-03-20,AFG,6.428999999999999,4.571000000000001,-2.714,0.7140000000000001,-0.28600000000000003
33,2020-03-21,AFG,4.2860000000000005,4.0,-6.857,1.571,-5.857
34,2020-03-22,AFG,3.8569999999999998,3.0,-9.714,1.714,-7.143
35,2020-03-23,AFG,2.8569999999999998,2.714,-12.714,1.857,-7.7139999999999995
36,2020-03-24,AFG,2.0,2.1430000000000002,-14.857000000000001,2.286,-8.571
37,2020-03-25,AFG,0.857,1.0,-17.285999999999998,3.0,-9.857000000000001
38,2020-03-26,AFG,0.429,-0.28600000000000003,-19.714000000000002,3.714,-11.0
39,2020-03-27,AFG,1.0,-1.571,-19.285999999999998,4.2860000000000005,-10.286
