CountryName,Country Code,Density,Median Age,HDI,Population,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sept,Oct,Nov,Dec
Afghanistan,AFG,54.422,18.6,0.498,38928341,0.07,2.11,7.6,13.37,18.22,23.2,25.26,23.77,19.03,12.99,7,2.43
Albania,ALB,104.871,38,0.785,2877800,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65
Algeria,DZA,17.348,29.1,0.754,43851043,12.12,14.79,17.91,21.94,26.41,30.8,32.54,31.97,28.82,23.34,17.31,12.95
Andorra,AND,163.755,44.3,0.858,77265,2.5,5,5.5,6.5,12.5,15.5,17.5,17.5,15.5,12.5,6.5,5.5
Angola,AGO,23.89,16.8,0.581,32866268,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.9,22.19,23.18,22.79,22.61
Argentina,ARG,16.177,31.9,0.825,45195777,20.8,19.9,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83
Aruba,ABW,593,41,0.868,2963234,26.5,26.5,27.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28,27
Australia,AUS,3.202,37.9,0.939,25499881,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99
Austria,AUT,106.749,44.4,0.908,9006400,-3.52,-1.99,1.42,5.51,10.12,13.29,15.26,14.98,12.09,7.55,1.73,-2.21
Azerbaijan,AZE,119.309,32.4,0.757,10139175,-0.2,0.8,4.97,11.64,16.8,21.73,24.76,24.11,19.83,12.88,7.33,2.03
Bahamas,BHS,39.497,34.3,0.807,393248,21.65,21.88,23,24.21,25.77,27.23,27.95,27.99,27.68,26.45,24.44,22.52
Bahrain,BHR,1935.907,32.4,0.846,1701583,17.5,19,22,27,31.5,34.5,35.5,36,33.5,30,25,20
Bangladesh,BGD,1265.036,27.5,0.608,164689383,18.63,21.02,25.42,28.02,28.45,28.46,28.3,28.39,28.36,27.17,23.7,19.74
Barbados,BRB,664.463,39.8,0.8,287371,24.5,25,25.5,26,27,27.5,26.5,27,26.5,26.5,26.5,25.5
Belarus,BLR,46.858,40.3,0.808,9449321,-6.8,-5.5,-0.69,6.92,13.44,16.54,17.72,16.95,12.42,6.9,1.21,-3.58
Belgium,BEL,375.564,41.8,0.916,11589616,1.95,2.62,5.23,8.15,12.4,15.43,17.24,17.18,14.43,10.68,5.76,3.11
Belize,BLZ,16.426,25,0.708,397621,22.37,23.04,24.45,25.87,26.91,26.93,26.45,26.66,26.49,25.42,23.56,22.62
Benin,BEN,99.11,18.8,0.515,12123198,26.57,28.69,30.14,30.2,28.93,27.13,25.84,25.44,25.9,27.15,27.15,26.39
Bermuda,BMU,1246,46,0.981,63968,18,18,18,19.5,22,25,26.5,27.5,26.5,22.5,21.5,19
Bhutan,BTN,21.188,28.6,0.612,771612,0.56,2.17,5.68,8.78,11.53,14.39,14.8,14.59,13.35,9.69,5.29,2.07
Bolivia,BOL,10.202,25.4,0.693,11673029,22.57,22.43,22.07,21,19.25,17.65,17.77,19.43,21.33,22.51,22.91,22.78
Bosnia and Herzegovina,BIH,68.496,42.5,0.768,3280815,-1.36,0.4,4.01,8.44,12.94,16.33,18.52,18.48,14.94,9.95,4.81,0.73
Botswana,BWA,4.044,25.8,0.717,2351625,26.31,25.42,24.3,21.42,17.6,14.29,14.21,17.16,21.36,24.28,25.5,25.89
Brazil,BRA,25.04,33.5,0.759,212559409,25.58,25.65,25.49,25.05,24.19,23.29,23.24,24.23,25.13,25.73,25.74,25.66
Brunei,BRN,81.347,32.4,0.853,437483,25.34,25.47,25.92,26.45,26.51,26.26,26.04,26.08,26.05,25.92,25.48,25.69
Bulgaria,BGR,65.18,44.7,0.813,6948445,-1.18,0.87,4.7,9.92,14.99,18.64,20.85,20.49,16.85,11.48,5.95,1.21
Burkina Faso,BFA,70.151,17.6,0.423,20903278,25,27.84,30.63,32.05,31.47,29.23,27.11,26.36,26.97,28.71,27.47,25.25
Burundi,BDI,423.062,17.5,0.417,11890781,20.24,20.39,20.43,20.37,20.05,19.37,19.36,20.44,21.16,20.98,20.24,20.17
Cambodia,KHM,90.672,25.6,0.582,16718971,24.87,26.53,27.93,28.94,28.49,27.73,27.35,27.27,26.96,26.6,25.82,24.8
Cameroon,CMR,50.885,18.8,0.556,26545864,23.88,25.36,26.27,26.43,25.52,24.34,23.37,23.29,23.73,24.28,24.25,23.61
Canada,CAN,4.037,41.4,0.926,37742157,-24.62,-23.25,-18.72,-9.79,-0.29,7.24,11.11,9.52,3.45,-4.36,-14.5,-21.52
Cape Verde,CPV,135.58,25.7,0.654,555988,21.5,21,21.5,22,23,22.5,25,25.5,26.5,24.5,25,22.5
Central African Republic,CAF,7.479,18.3,0.367,4829764,24.28,26.01,26.96,26.76,25.88,24.65,23.77,23.71,23.84,24.31,24.25,23.65
Chad,TCD,11.833,16.7,0.404,16425859,20.66,23.1,26.55,29.55,31.03,30.75,29.26,28.21,28.36,27.23,23.8,21.29
Chile,CHL,24.282,35.4,0.843,19116209,12.68,12.2,10.87,8.62,6.29,4.4,4.04,4.84,6.32,8.22,10.12,11.85
China,CHN,147.674,38.7,0.752,1439323774,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51
Colombia,COL,44.223,32.2,0.747,50882884,24.62,24.98,25.14,24.75,24.35,23.89,23.79,24.04,24.21,24.29,24.38,24.39
Comoros,COM,437.352,20.4,0.503,869595,25.09,25.11,25.2,24.98,23.96,22.5,21.97,22.18,22.8,23.91,24.9,25.24
Congo,COG,15.405,19,0.606,5518092,24.7,25.31,25.6,25.62,25.26,23.82,23.03,23.34,24.05,24.54,24.52,24.47
Costa Rica,CRI,96.079,33.6,0.794,5094114,23.17,23.67,24.62,25.04,24.6,23.99,24.05,23.85,23.68,23.43,23.06,23.04
Cote d'Ivoire,CIV,76.399,18.7,0.492,26378275,25.84,27.77,28.25,28.05,27.19,25.88,24.87,24.74,25.27,25.99,26.32,25.43
Croatia,HRV,73.726,44,0.831,4105268,-0.16,2.09,5.83,10.25,14.76,17.99,20.04,19.67,16.36,11.35,5.96,1.53
Cuba,CUB,110.408,43.1,0.777,11326616,22.21,22.39,23.75,24.79,26.06,26.91,27.44,27.43,26.98,26.06,24.5,23.05
Cyprus,CYP,127.657,37.3,0.869,875899,10.64,11.07,12.99,16.58,20.54,24.47,27.05,27.05,24.78,20.81,16.19,12.39
Czech Republic,CZE,137.176,43.3,0.888,10708982,-2.81,-1.06,2.8,7.49,12.3,15.41,17.11,16.9,13.49,8.59,2.82,-1.06
Democratic Republic of Congo,COD,35.879,17,0.457,89561404,24.14,24.5,24.73,24.63,24.35,23.31,22.82,23.51,24.08,24.27,24.13,23.99
Denmark,DNK,136.52,42.3,0.929,5792203,-0.11,-0.1,2.24,5.87,10.77,14.4,15.89,15.9,13.01,9.36,4.94,1.65
Djibouti,DJI,41.285,25.4,0.476,988002,23.31,24.14,25.75,27.37,29.2,31.39,32.38,31.83,30.09,27.4,25.18,23.67
Dominica,DMA,98.567,34.9,0.715,71991,24.7,24.8,25.3,26,26.9,27.5,27.2,27.4,27.4,26.9,26.3,25.4
Dominican Republic,DOM,222.873,27.6,0.736,10847904,21.76,22.1,22.88,23.81,24.38,25.01,25.21,25.64,25.35,24.73,23.75,22.52
Ecuador,ECU,66.939,28.1,0.752,17643060,21.71,21.78,21.93,21.96,21.54,20.87,20.41,20.71,20.97,21.26,21.3,21.5
Egypt,EGY,97.999,25.3,0.696,102334403,12.93,14.6,17.83,22.44,26.26,28.82,29.12,29.1,27.28,24.1,18.68,14.28
El Salvador,SLV,307.811,27.6,0.674,6486201,23.95,24.48,25.7,26.35,25.9,24.87,25.16,24.94,24.3,24.23,23.79,23.59
Eritrea,ERI,44.304,19.3,0.44,3546427,22.25,23.1,24.83,26.87,28.46,29.18,28.28,27.64,27.49,26.7,24.93,23.09
Estonia,EST,31.033,42.7,0.871,1326539,-6.51,-6.33,-2.35,3.93,10.35,14.72,16.52,15.63,11,6.26,0.85,-3.69
Eswatini,SWZ,79.492,21.5,0.588,1160164,24.2,23.99,23.06,20.69,18.35,15.72,15.91,17.62,19.77,20.62,21.78,23.26
Ethiopia,ETH,104.957,19.8,0.463,114963583,21.17,22.3,23.48,23.8,23.63,23.26,22.28,22.04,22.44,22.07,21.22,20.75
Faeroe Islands,FRO,34.5,37.2,0.95,48497,3.7,3.5,3.9,5.1,7.3,9.3,10.6,11,9.4,7.5,4.9,3.9
Fiji,FJI,49.562,28.6,0.741,896444,24.86,25.19,25,24.41,22.99,22.34,21.38,21.62,21.97,22.81,23.58,24.31
Finland,FIN,18.136,42.8,0.92,5540718,-11.91,-11.03,-6.09,0.04,7.09,12.9,15.18,13.1,7.91,2.25,-4.04,-9.22
France,FRA,122.578,42,0.901,65273512,3.11,4.22,6.37,9.1,12.72,16.1,18.6,18.23,15.78,11.75,6.69,3.87
Gabon,GAB,7.859,23.1,0.702,2225728,25.72,25.94,26.14,26.09,25.73,24.09,22.98,23.35,24.57,25.22,25.13,25.04
Gambia,GMB,207.566,17.5,0.46,2416664,23.87,25.88,27.32,28.25,28.53,28.55,27.36,26.73,26.73,27.59,26.52,23.93
Georgia,GEO,65.032,38.7,0.78,3989175,-5.43,-3.98,0.72,7.62,12.26,15.67,18.8,18.45,14.63,8.74,3.26,-2.37
Germany,DEU,237.016,46.6,0.936,83783945,-0.48,0.56,3.87,7.69,12.27,15.5,17.19,16.97,13.9,9.43,4.27,0.88
Ghana,GHA,126.719,21.1,0.592,31072945,26.95,29.09,29.52,29.16,28.15,26.61,25.67,25.44,25.87,26.82,27.3,26.44
Greece,GRC,83.479,45.3,0.87,10423056,4.74,5.8,8.19,11.93,16.42,20.48,22.95,22.77,19.52,14.55,10.21,6.29
Greenland,GRL,0.01,29.4,0.927,56025,-8,-8.3,-8.2,-3.5,1.3,4.8,7.3,7,4.2,-0.5,-3.7,-6.3
Guam,GUM,313,30.1,0.901,160000,25.9,25.8,26.2,26.7,27.2,27.3,27.1,26.8,26.8,26.8,27,26.5
Guatemala,GTM,157.834,22.9,0.65,17915567,20.7,21.45,22.94,24.35,24.89,24.54,23.99,24.11,23.82,23.11,21.88,21.08
Guinea,GIN,51.755,19,0.459,13132792,24.25,26.2,27.63,28.23,27.47,25.58,24.52,24.12,24.64,25.13,25.08,23.71
Guyana,GUY,3.952,26.3,0.654,786559,25.23,25.3,25.65,25.86,25.79,25.38,25.33,25.79,26.39,26.66,26.46,25.7
Haiti,HTI,398.448,24.3,0.498,11402533,22.5,22.8,23.47,24.17,24.91,25.65,25.87,26.07,25.81,25.29,24.19,22.97
Honduras,HND,82.805,24.9,0.617,9904608,21.31,21.98,23.38,24.42,24.99,24.5,24.05,24.27,24.21,23.44,22.38,21.7
Hong Kong,HKG,7039.714,44.8,0.933,7496988,15.7,15.4,17.9,21.8,25.4,27.5,28.1,28.4,27.5,24.8,20.9,17.4
Hungary,HUN,108.043,43.4,0.838,9660350,-2.03,0.85,5.44,10.72,15.49,18.52,20.11,19.7,16.13,10.81,4.89,0.11
Iceland,ISL,3.404,37.3,0.935,341250,-3.17,-2.72,-2.61,-0.46,3.06,6.38,8.29,7.57,4.29,1.21,-2.34,-3.28
India,IND,450.419,28.2,0.64,1380004385,16.84,19.15,23.45,27.43,29.53,28.96,26.91,26.23,26.05,24.52,20.79,17.48
Indonesia,IDN,145.725,29.3,0.694,273523621,25.51,25.62,25.79,26.02,26.04,25.59,25.27,25.39,25.63,25.99,25.98,25.8
Iran,IRN,49.831,32.4,0.798,83992953,4.39,6.43,11.33,16.82,22.06,26.53,28.59,27.28,23.51,17.85,11.75,6.58
Iraq,IRQ,88.125,20,0.685,40222503,8.88,11.13,15.12,20.71,26.53,30.78,33.3,32.89,29.44,23.58,16.08,10.51
Ireland,IRL,69.874,38.7,0.938,4937796,4.64,4.69,6,7.69,10.07,12.8,14.53,14.28,12.46,10.08,6.61,5.45
Israel,ISR,402.606,30.6,0.903,8655541,11.79,12.72,14.96,18.82,21.9,24.75,26.45,26.68,25.12,22.22,17.57,13.4
Italy,ITA,205.859,47.9,0.88,60461828,3.32,4.35,6.52,9.61,13.78,17.52,20.31,20.14,17.19,12.86,8.01,4.4
Jamaica,JAM,266.879,31.4,0.732,2961161,22.76,22.91,23.44,24.25,24.72,25.5,25.7,25.91,25.41,25.03,24.38,23.62
Japan,JPN,347.778,48.2,0.909,126476458,-1.27,-0.89,2.52,8.7,13.52,17.34,21.34,22.74,18.76,12.78,7.05,1.75
Jordan,JOR,109.285,23.2,0.735,10203140,8.34,9.95,13.08,17.72,21.92,25.23,26.9,26.91,24.85,20.68,14.71,9.94
Kazakhstan,KAZ,6.681,30.6,0.8,18776707,-12.31,-11.8,-3.96,8.24,15.8,20.97,23.4,20.88,15,6.18,-1.92,-8.64
Kenya,KEN,87.324,20,0.59,53771300,24.92,25.71,26.1,25.45,24.5,23.42,22.85,23.16,23.92,24.84,24.55,24.57
Kosovo,OWID_KOS,168.155,30.5,0.742,1932774,-0.8,1.4,5.8,9.9,14.5,17.9,19.9,20,16.6,11.2,5,0.7
Kuwait,KWT,232.128,33.7,0.803,4270563,12.35,14.66,19.23,24.21,30.66,34.72,36.25,35.88,32.78,27.13,19.89,14.08
Kyrgyz Republic,KGZ,32.333,26.3,0.672,6524191,-14.26,-12.72,-5.19,3.18,7.52,11.53,14.45,13.7,9.01,2.21,-5.27,-11.05
Laos,LAO,29.715,24.4,0.601,7275556,18.69,20.6,23.01,25.21,25.9,25.75,25.49,25.2,24.83,23.62,21.27,19.03
Latvia,LVA,31.212,43.9,0.847,1886202,-5.87,-5.3,-1.37,4.96,11.26,15.04,16.55,15.94,11.51,6.73,1.34,-3.28
Lebanon,LBN,594.561,31.1,0.757,6825442,7.5,8.13,10.39,14,17.42,20.87,22.97,23.35,21.84,18.4,13.5,8.99
Lesotho,LSO,73.562,22.2,0.52,2142252,17.51,16.51,15.13,11.43,8.27,5.49,5.93,7.88,11.64,13.11,14.58,16.2
Liberia,LBR,49.127,19.2,0.435,5057677,25.26,25.87,26.44,26.38,25.81,25.1,24.14,23.9,24.54,25.13,25.45,25.01
Libya,LBY,3.623,29,0.706,6871287,12.38,14.64,17.76,22.1,26.5,29.23,29.4,29.12,27.32,23.09,17.75,13.51
Lithuania,LTU,45.135,43.5,0.858,2722291,-5.47,-4.63,-0.47,5.95,12.18,15.59,16.89,16.43,12.14,7.22,1.83,-2.73
Luxembourg,LUX,231.447,39.7,0.904,625976,0.37,1.6,4.7,8.11,12.42,15.5,17.39,16.9,14.05,9.75,4.4,1.37
Macao,MAC,20400,39.3,0.914,27691019,15.4,15.7,18.5,22.2,26.2,28,28.8,28.4,27.6,24.7,21,17
Madagascar,MDG,43.951,19.6,0.519,19129955,24.29,24.32,23.99,23.1,21.17,19.35,18.89,19.3,20.53,22.1,23.19,23.93
Malawi,MWI,197.519,18.1,0.477,32365998,23.49,23.37,23.25,22.31,20.31,18.42,18.05,19.5,22.01,24.28,24.78,23.98
Malaysia,MYS,96.254,29.9,0.802,20250834,24.61,24.73,25.19,25.61,25.74,25.49,25.21,25.19,25.11,25.1,24.89,24.79
Mali,MDV,1454.433,30.6,0.717,4649660,21.25,24.17,27.34,30.53,33.06,33.38,31.81,30.62,30.58,29.55,25.64,21.65
Mauritania,MLI,15.196,16.4,0.427,1271767,20.3,22.66,25.29,27.95,31.3,33.21,33.3,32.28,31.2,29.38,24.96,20.49
Mauritius,MRT,4.289,20.3,0.52,128932753,25.5,25.6,25.48,24.62,22.89,21.34,20.65,20.38,20.9,22,23.43,24.74
Mexico,MUS,622.962,37.4,0.79,4033963,14.8,16.2,18.44,21.28,23.46,24.96,24.9,24.7,23.58,21.07,17.79,15.36
Moldova,MEX,66.444,29.3,0.774,39244,-3.33,-1.73,2.93,10.25,16.05,19.38,20.96,20.58,16.44,10.41,4.48,-0.41
Monaco,MDA,123.655,37.6,0.7,3278292,8,9,11,13,16.5,19,23,23,21,16,12,9
Mongolia,MCO,19347.5,27.1,0.741,628062,-20.56,-17.8,-8.8,1.69,9.8,15.16,17.2,15.47,9.23,0.77,-10.23,-17.93
Morocco,MNG,1.98,28.6,0.741,36910558,9.68,11.17,13.09,15.1,18.61,22.22,26.01,25.86,22.71,18.22,13.74,10.29
Mozambique,MAR,80.08,29.6,0.667,31255435,26.03,25.89,25.48,24.15,22.04,20,19.63,20.99,23.13,24.98,25.93,26.03
Myanmar,MOZ,37.728,17.7,0.437,54409794,18,19.74,22.74,25.39,25.75,25.18,24.91,24.82,24.89,24.01,21.43,18.62
Namibia,NAM,81.721,29.1,0.578,2540916,24.26,23.61,22.67,20.33,17.16,14.44,14.14,16.06,19.24,21.58,23.01,23.96
Nepal,NPL,3.078,22,0.647,29136808,4.16,5.63,10.02,14.25,16.82,18.83,18.81,18.59,17.35,13.73,9.16,5.57
Netherlands,NLD,204.43,25,0.574,17134873,1.99,2.37,4.95,7.56,11.98,14.72,16.55,16.64,13.9,10.35,5.92,3.49
New Zealand,NZL,508.544,43.2,0.931,4822233,14.94,15.05,13.6,10.72,7.58,5.26,4.57,5.72,7.61,9.67,11.53,13.46
Nicaragua,NIC,18.206,37.9,0.917,6624554,23.3,23.97,24.95,25.72,25.81,25.07,24.93,24.77,24.72,24.54,23.79,23.51
Niger,NER,51.667,27.3,0.658,24206636,19.05,21.91,26.01,30.29,32.73,32.79,31.24,30.32,30.35,28.47,23.66,20.04
Nigeria,NGA,16.955,15.1,0.354,206139587,24.6,27.01,29.13,29.89,28.94,27.31,25.85,25.38,25.93,26.78,25.92,24.67
Norway,NOR,209.588,18.1,0.532,5421242,-9.25,-8.74,-5.49,-1.14,4.78,9.53,11.64,10.49,6.42,1.64,-3.76,-7.07
Oman,OMN,14.462,39.7,0.953,5106622,19.92,20.78,23.4,26.72,29.47,30.05,28.69,27.61,27.45,26.25,23.83,21.29
Pakistan,PAK,14.98,30.7,0.821,220892331,8.67,10.67,16.01,21.59,25.85,28.98,28.66,27.62,25.28,20.86,15.25,10.33
Palestine,PSE,255.573,23.5,0.562,5101416,8,9.5,11,15.5,19,20,20.5,20.5,20.5,18,13.5,10
Panama,PAN,778.202,20.4,0.686,4314768,24.18,24.53,25.44,25.7,25.56,24.85,25.12,24.71,24.34,24.3,23.96,23.99
Papua New Guinea,PNG,55.133,29.7,0.789,8947027,25.47,25.39,25.35,25.28,25.15,24.5,24.06,24.27,24.75,25.25,25.56,25.6
Paraguay,PRY,18.22,22.6,0.544,7132530,27.74,27.08,25.84,23.1,20.4,18.34,18.57,20.3,22.3,24.7,26.09,27.3
Peru,PER,17.144,26.5,0.702,32971846,20.09,20.09,19.99,19.78,19.21,18.37,18.05,18.73,19.29,19.75,20.08,20.04
Philippines,PHL,25.129,29.1,0.75,109581085,24.06,24.31,25.13,26.15,26.55,26.02,25.6,25.52,25.56,25.44,25.07,24.52
Poland,POL,351.873,25.2,0.699,37846605,-2.82,-1.38,2.65,7.41,12.98,15.95,17.52,17.18,13.33,8.77,3.42,-0.58
Portugal,PRT,124.027,41.8,0.865,10196707,9.05,9.82,11.33,12.96,15.7,19.09,21.72,21.87,20.12,16.43,12.11,9.46
Puerto Rico,PRI,112.371,46.2,0.847,3190000,22.37,22.39,22.93,23.78,24.81,25.51,25.59,25.82,25.55,25.15,24.26,23.17
Qatar,QAT,323,38,0.845,2881060,17.27,18.31,21.78,26.09,31.12,33.88,34.85,34.5,32.43,29.12,24.34,19.31
Romania,ROU,227.322,31.9,0.856,19237682,-3.73,-1.37,3.4,9.39,14.41,17.55,19.19,18.81,15.18,9.73,4.14,-0.97
Russia,RUS,85.129,43,0.811,145934460,-27,-24.72,-16.57,-6.74,2.9,10.96,14.79,12.01,5.56,-5.33,-17.64,-24.07
Rwanda,RWA,8.823,39.6,0.816,12952209,19.02,19.24,19.25,19.04,18.9,18.56,18.6,19.28,19.34,19.21,18.83,18.86
San Marino,SMR,494.869,20.3,0.524,33938,4,5,6,11,15,19,23,23,19,15,8.5,4
Saudi Arabia,SAU,556.667,44.4,0.875,34813867,15.35,17.14,20.6,24.53,28.89,31.59,32.04,32.08,30.21,25.85,20.83,16.7
Senegal,SEN,15.322,31.9,0.853,16743930,24.32,26.53,28.47,30.04,31.08,30.11,28.47,27.67,27.7,28.6,27.16,24.32
Serbia,SRB,82.328,18.7,0.505,6804596,-1.52,0.63,4.91,10.31,15.16,18.41,20.29,20.13,16.47,10.96,5.4,1.01
Seychelles,SYC,80.291,41.2,0.787,98340,27,27.5,28,28,28,27,26,26,26.5,26,26,26
Sierra Leone,SLE,208.354,36.2,0.797,7976985,25.19,26.94,27.65,27.74,26.93,25.93,24.95,24.84,25.39,25.87,26,25.12
Singapore,SGP,104.7,19.1,0.419,5850343,26.5,27.5,27.5,27.5,28.5,28.5,27.5,27.5,27.5,27.5,27.5,27.5
Slovak Republic,SVK,7915.731,42.4,0.932,5459643,-4.17,-1.72,2.4,7.6,12.43,15.33,16.95,16.67,13.17,8.32,2.45,-2.19
Slovenia,SVN,113.128,41.2,0.855,2078932,-2.09,-0.13,3.38,7.58,12.16,15.4,17.38,16.94,13.87,9.21,3.58,-0.79
Solomon Islands,SLB,102.619,44.5,0.896,686878,26.34,26.07,25.95,25.73,25.51,25.1,24.61,24.85,25.52,26,26.11,26.32
Somalia,SOM,21.841,20.8,0.546,15893219,25.03,25.85,27.16,28,28.09,27.87,27.11,27.13,27.68,26.67,25.62,25
South Africa,ZAF,23.5,16.8,0.285,59308690,23.19,22.66,21.1,17.74,14.24,11.16,11.07,12.97,16.03,18.31,20.48,22.2
South Korea,KOR,46.754,27.3,0.699,51269183,-3.58,-1.48,3.66,10.29,15.51,19.78,23.31,23.88,18.8,12.7,5.71,-0.67
South Sudan,SSD,527.967,43.4,0.903,11193729,26.44,27.94,29.3,29.19,27.9,26.41,25.45,25.45,25.93,26.55,26.47,26.1
Spain,ESP,18,19.2,0.388,46754783,5.59,6.76,8.6,10.65,14.27,18.49,22.03,21.83,19.01,14.03,8.97,6.07
